image_path,crop_type,N,P,K,temperature,humidity,ph,rainfall,before_temp,after_temp,thermal_delta,health_status,green_ratio,efficiency_score,deficiency
../datasets/selected_plant_images\apple\apple_Apple_scab_36d99a07-4a43-4416-b204-6886f71d5039___FREC_Scab 3294.JPG,apple,40,144,196,22.71750705,92.25479855,5.987262638,107.0289866,22.61,24.27,1.65,stressed,0.6372568558673469,22.0,Balanced
../datasets/selected_plant_images\apple\apple_Apple_scab_36d99a07-4a43-4416-b204-6886f71d5039___FREC_Scab 3294.JPG,apple,28,130,196,22.13450646,94.67695747,6.062356467000001,112.9203223,22.6,23.85,1.25,stressed,0.6372568558673469,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Apple_scab_36d99a07-4a43-4416-b204-6886f71d5039___FREC_Scab 3294.JPG,apple,32,137,204,22.86006627,93.12859895,5.824151692999999,117.7296726,23.32,24.3,0.98,stressed,0.6372568558673469,30.0,N_deficient
../datasets/selected_plant_images\apple\apple_Apple_scab_36d99a07-4a43-4416-b204-6886f71d5039___FREC_Scab 3294.JPG,apple,30,137,200,22.91430043,90.70475565,5.603413172000001,118.6044645,23.82,25.04,1.22,stressed,0.6372568558673469,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Apple_scab_36d99a07-4a43-4416-b204-6886f71d5039___FREC_Scab 3294.JPG,apple,2,131,199,22.47420512,91.22759742,6.017370134,124.2179699,21.52,22.61,1.09,stressed,0.6372568558673469,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Apple_scab_4151028c-c8bc-4394-b4a7-aff414864c15___FREC_Scab 3418.JPG,apple,35,138,200,21.19909519,90.80819418,5.67130617,103.6838922,21.69,23.17,1.48,stressed,0.46033960459183676,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Apple_scab_4151028c-c8bc-4394-b4a7-aff414864c15___FREC_Scab 3418.JPG,apple,35,138,200,21.19909519,90.80819418,5.67130617,103.6838922,21.17,22.36,1.19,stressed,0.46033960459183676,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Apple_scab_4151028c-c8bc-4394-b4a7-aff414864c15___FREC_Scab 3418.JPG,apple,29,128,198,22.44075021,92.70785115,5.685062404,121.4977331,21.72,23.38,1.66,stressed,0.46033960459183676,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Apple_scab_4151028c-c8bc-4394-b4a7-aff414864c15___FREC_Scab 3418.JPG,apple,6,144,198,21.11478672,90.31528693,5.559363609,104.5086618,21.32,23.12,1.8,stressed,0.46033960459183676,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Apple_scab_4151028c-c8bc-4394-b4a7-aff414864c15___FREC_Scab 3418.JPG,apple,28,130,196,22.13450646,94.67695747,6.062356467000001,112.9203223,22.82,24.88,2.07,stressed,0.46033960459183676,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Apple_scab_43f68711-decd-4831-bf5c-99fa40abe339___FREC_Scab 3413.JPG,apple,9,137,200,21.12152071,90.6878768,5.636687393,102.8017203,21.35,23.3,1.95,stressed,0.4845344387755102,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Apple_scab_43f68711-decd-4831-bf5c-99fa40abe339___FREC_Scab 3413.JPG,apple,33,138,198,22.29423493,90.69033986,6.222390797999999,122.7418744,22.22,23.97,1.75,stressed,0.4845344387755102,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Apple_scab_43f68711-decd-4831-bf5c-99fa40abe339___FREC_Scab 3413.JPG,apple,9,139,199,23.25230817,94.54128292,5.867420996,105.3558408,22.3,23.85,1.56,stressed,0.4845344387755102,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Apple_scab_43f68711-decd-4831-bf5c-99fa40abe339___FREC_Scab 3413.JPG,apple,14,128,205,22.60800988,94.58900601,6.226289556,116.0396587,23.14,24.38,1.24,stressed,0.4845344387755102,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Apple_scab_43f68711-decd-4831-bf5c-99fa40abe339___FREC_Scab 3413.JPG,apple,26,121,201,22.19109412,90.02575116,6.162034371,112.3126628,22.89,24.33,1.43,stressed,0.4845344387755102,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Apple_scab_4b51cc5d-4122-451b-8598-81ea29dc7cd4___FREC_Scab 3290.JPG,apple,30,143,199,23.76881552,90.59810302,5.7983508000000015,102.2648546,22.96,25.08,2.12,stressed,0.38717713647959184,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Apple_scab_4b51cc5d-4122-451b-8598-81ea29dc7cd4___FREC_Scab 3290.JPG,apple,33,138,198,22.29423493,90.69033986,6.222390797999999,122.7418744,21.82,23.47,1.66,stressed,0.38717713647959184,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Apple_scab_4b51cc5d-4122-451b-8598-81ea29dc7cd4___FREC_Scab 3290.JPG,apple,10,136,204,21.19852186,92.15595143,6.276198595,105.8554351,20.97,22.37,1.4,stressed,0.38717713647959184,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Apple_scab_4b51cc5d-4122-451b-8598-81ea29dc7cd4___FREC_Scab 3290.JPG,apple,20,139,202,23.50201428,92.21083961,5.66999105,107.9868949,23.35,24.85,1.5,stressed,0.38717713647959184,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Apple_scab_4b51cc5d-4122-451b-8598-81ea29dc7cd4___FREC_Scab 3290.JPG,apple,3,141,197,21.98141856,91.12719303,6.142803397000001,115.4789148,22.49,24.26,1.77,stressed,0.38717713647959184,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Apple_scab_675f0b56-9d0b-45b3-8c8e-820efae75274___FREC_Scab 3006.JPG,apple,2,129,201,22.78234161,94.36803516,5.682343744,122.1449949,22.17,23.84,1.67,stressed,0.4233298788265306,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Apple_scab_675f0b56-9d0b-45b3-8c8e-820efae75274___FREC_Scab 3006.JPG,apple,35,128,205,21.07273439,93.56585985,6.041053829,107.8737015,20.33,22.35,2.01,stressed,0.4233298788265306,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Apple_scab_675f0b56-9d0b-45b3-8c8e-820efae75274___FREC_Scab 3006.JPG,apple,34,140,198,21.70416965,93.44006288,5.751707342,115.1781396,21.32,23.02,1.7,stressed,0.4233298788265306,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Apple_scab_675f0b56-9d0b-45b3-8c8e-820efae75274___FREC_Scab 3006.JPG,apple,16,143,204,23.71475278,91.53331177,5.631333387000001,121.8961665,22.94,24.33,1.39,stressed,0.4233298788265306,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Apple_scab_675f0b56-9d0b-45b3-8c8e-820efae75274___FREC_Scab 3006.JPG,apple,1,124,199,23.71059131,93.27392415,5.658473817000001,112.66765890000002,23.27,24.92,1.66,stressed,0.4233298788265306,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Apple_scab_98259104-a5dd-4751-88f2-27923a2317a3___FREC_Scab 3419.JPG,apple,33,138,198,22.29423493,90.69033986,6.222390797999999,122.7418744,22.67,23.81,1.14,stressed,0.445491868622449,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Apple_scab_98259104-a5dd-4751-88f2-27923a2317a3___FREC_Scab 3419.JPG,apple,28,136,200,23.06204373,92.39544055,6.245858905,114.7399101,24.04,25.31,1.27,stressed,0.445491868622449,22.0,N_deficient
